Treatment;Ecosystem;Class;Abundance
Commercial Conventional;Soil;Bacilli;34
Commercial Conventional;Soil;Gammaproteobacteria;1
Commercial Conventional;Leaf;Actinomycetia;2
Commercial Conventional;Leaf;Bacilli;24
Commercial Conventional;Leaf;Gammaproteobacteria;14
Commercial Conventional;Bark;Actinomycetia;1
Commercial Conventional;Bark;Bacilli;12
Commercial Conventional;Bark;Gammaproteobacteria;15
Commercial Conventional;Grape;Actinomycetia;2
Commercial Conventional;Grape;Alphaproteobacteria;3
Commercial Conventional;Grape;Bacilli;6
Commercial Conventional;Grape;Gammaproteobacteria;2
Commercial Conventional;Total;Actinomycetia;23,95604396
Commercial Conventional;Total;Alphaproteobacteria;23,07692308
Commercial Conventional;Total;Bacilli;246,1538462
Commercial Conventional;Total;Gammaproteobacteria;106,8131868
Natural Conventional;Soil;Actinomycetia;13
Natural Conventional;Soil;Alphaproteobacteria;1
Natural Conventional;Soil;Bacilli;26
Natural Conventional;Soil;Gammaproteobacteria;2
Natural Conventional;Leaf;Actinomycetia;1
Natural Conventional;Leaf;Bacilli;16
Natural Conventional;Leaf;Gammaproteobacteria;3
Natural Conventional;Bark;Actinomycetia;19
Natural Conventional;Bark;Alphaproteobacteria;2
Natural Conventional;Bark;Bacilli;23
Natural Conventional;Grape;Gammaproteobacteria;1
Natural Conventional;Grape;Bacilli;1
Natural Conventional;Total;Actinomycetia;33
Natural Conventional;Total;Alphaproteobacteria;3
Natural Conventional;Total;Bacilli;66
Natural Conventional;Total;Gammaproteobacteria;6
Commercial Organic;Soil;Actinomycetia;6
Commercial Organic;Soil;Bacilli;43
Commercial Organic;Soil;Gammaproteobacteria;6
Commercial Organic;Leaf;Actinomycetia;9
Commercial Organic;Leaf;Alphaproteobacteria;2
Commercial Organic;Leaf;Bacilli;33
Commercial Organic;Leaf;Gammaproteobacteria;17
Commercial Organic;Bark;Actinomycetia;3
Commercial Organic;Bark;Bacilli;18
Commercial Organic;Bark;Gammaproteobacteria;16
Commercial Organic;Grape;Actinomycetia;26
Commercial Organic;Grape;Bacilli;15
Commercial Organic;Grape;Gammaproteobacteria;1
Commercial Organic;Total;Actinomycetia;95,67605928
Commercial Organic;Total;Alphaproteobacteria;3,278688525
Commercial Organic;Total;Bacilli;216,6431132
Commercial Organic;Total;Gammaproteobacteria;84,40213899
Natural Organic;Soil;Actinomycetia;27
Natural Organic;Soil;Alphaproteobacteria;1
Natural Organic;Soil;Bacilli;17
Natural Organic;Soil;Betaproteobacteria;1
Natural Organic;Soil;Gammaproteobacteria;6
Natural Organic;Leaf;Actinomycetia;1
Natural Organic;Leaf;Bacilli;7
Natural Organic;Leaf;Gammaproteobacteria;3
Natural Organic;Bark;Gammaproteobacteria;1
Natural Organic;Bark;Bacilli;1
Natural Organic;Grape;Bacilli;3
Natural Organic;Total;Actinomycetia;28
Natural Organic;Total;Alphaproteobacteria;1
Natural Organic;Total;Bacilli;28
Natural Organic;Total;Betaproteobacteria;1
Natural Organic;Total;Gammaproteobacteria;10
Commercial Wild;Soil;Actinomycetia;34,375
Commercial Wild;Soil;Alphaproteobacteria;9,375
Commercial Wild;Soil;Bacilli;43,75
Commercial Wild;Soil;Gammaproteobacteria;9,375
Commercial Wild;Soil;Sphingobacteriia;3,125
Commercial Wild;Leaf;Actinomycetia;17,14285714
Commercial Wild;Leaf;Alphaproteobacteria;2,857142857
Commercial Wild;Leaf;Bacilli;28,57142857
Commercial Wild;Leaf;Gammaproteobacteria;51,42857143
Commercial Wild;Bark;Actinomycetia;34,09090909
Commercial Wild;Bark;Alphaproteobacteria;2,272727273
Commercial Wild;Bark;Bacilli;18,18181818
Commercial Wild;Bark;Gammaproteobacteria;45,45454545
Commercial Wild;Grape;Bacilli;68
Commercial Wild;Grape;Actinomycetia;32
Commercial Wild;Total;Actinomycetia;23,2
Commercial Wild;Total;Alphaproteobacteria;4
Commercial Wild;Total;Bacilli;39,2
Commercial Wild;Total;Gammaproteobacteria;32,8
Commercial Wild;Total;Sphingobacteriia;0,8
Natural Wild;Soil;Actinomycetia;60
Natural Wild;Soil;Alphaproteobacteria;10
Natural Wild;Soil;Bacilli;30
Natural Wild;Leaf;Gammaproteobacteria;100
Natural Wild;Bark;Actinomycetia;11,11111111
Natural Wild;Bark;Bacilli;11,11111111
Natural Wild;Bark;Gammaproteobacteria;77,77777778
Natural Wild;Grape;Bacilli;64
Natural Wild;Grape;Actinomycetia;36
Natural Wild;Total;Actinomycetia;34,04255319
Natural Wild;Total;Alphaproteobacteria;2,127659574
Natural Wild;Total;Bacilli;42,55319149
Natural Wild;Total;Gammaproteobacteria;21,27659574
