Sample;Treatment;Organ Material;Genera;Relative Abundance
Conv-1;Conventional;Bark;Alternaria;1,639344262
Conv-1;Conventional;Bark;Aspergillus;1,639344262
Conv-1;Conventional;Bark;Aureobasidium;0
Conv-1;Conventional;Bark;Cladosporium;11,47540984
Conv-1;Conventional;Bark;Fonsecaea;1,639344262
Conv-1;Conventional;Bark;Sclerostagonospora;0
Conv-1;Conventional;Grape;Alternaria;0
Conv-1;Conventional;Grape;Apiospora;1,639344262
Conv-1;Conventional;Grape;Aspergillus;4,918032787
Conv-1;Conventional;Grape;Cladosporium;16,39344262
Conv-1;Conventional;Grape;Penicillium;3,278688525
Conv-1;Conventional;Grape;Preussia;0
Conv-1;Conventional;Grape;Sarocladium;1,639344262
Conv-1;Conventional;Leaf;Actinomucor;1,639344262
Conv-1;Conventional;Leaf;Alternaria;1,639344262
Conv-1;Conventional;Leaf;Aspergillus;1,639344262
Conv-1;Conventional;Leaf;Aureobasidium;4,918032787
Conv-1;Conventional;Leaf;Cladosporium;18,03278689
Conv-1;Conventional;Leaf;Fusarium;1,639344262
Conv-1;Conventional;Leaf;Penicillium;4,918032787
Conv-1;Conventional;Leaf;Pseudopithomyces;0
Conv-1;Conventional;Leaf;Sclerostagonospora;1,639344262
Conv-1;Conventional;Leaf;Stemphylium;0
Conv-1;Conventional;Leaf;Tamaricicola;1,639344262
Conv-1;Conventional;Leaf;Xylona;0
Conv-1;Conventional;Leaf;Zalaria;0
Conv-1;Conventional;Soil;Actinomucor;0
Conv-1;Conventional;Soil;Alternaria;0
Conv-1;Conventional;Soil;Aspergillus;4,918032787
Conv-1;Conventional;Soil;Cephalotrichum;0
Conv-1;Conventional;Soil;Cladosporium;3,278688525
Conv-1;Conventional;Soil;Fusarium;3,278688525
Conv-1;Conventional;Soil;Mortierella;1,639344262
Conv-1;Conventional;Soil;Penicillium;3,278688525
Conv-1;Conventional;Soil;Trichoderma;1,639344262
Conv-2;Conventional;Bark;Alternaria;0
Conv-2;Conventional;Bark;Aspergillus;1,694915254
Conv-2;Conventional;Bark;Aureobasidium;1,694915254
Conv-2;Conventional;Bark;Cladosporium;10,16949153
Conv-2;Conventional;Bark;Fonsecaea;0
Conv-2;Conventional;Bark;Sclerostagonospora;0
Conv-2;Conventional;Grape;Alternaria;1,694915254
Conv-2;Conventional;Grape;Apiospora;1,694915254
Conv-2;Conventional;Grape;Aspergillus;1,694915254
Conv-2;Conventional;Grape;Cladosporium;15,25423729
Conv-2;Conventional;Grape;Penicillium;3,389830508
Conv-2;Conventional;Grape;Preussia;0
Conv-2;Conventional;Grape;Sarocladium;0
Conv-2;Conventional;Leaf;Actinomucor;0
Conv-2;Conventional;Leaf;Alternaria;5,084745763
Conv-2;Conventional;Leaf;Aspergillus;0
Conv-2;Conventional;Leaf;Aureobasidium;3,389830508
Conv-2;Conventional;Leaf;Cladosporium;20,33898305
Conv-2;Conventional;Leaf;Fusarium;1,694915254
Conv-2;Conventional;Leaf;Penicillium;6,779661017
Conv-2;Conventional;Leaf;Pseudopithomyces;0
Conv-2;Conventional;Leaf;Sclerostagonospora;0
Conv-2;Conventional;Leaf;Stemphylium;1,694915254
Conv-2;Conventional;Leaf;Tamaricicola;0
Conv-2;Conventional;Leaf;Xylona;0
Conv-2;Conventional;Leaf;Zalaria;0
Conv-2;Conventional;Soil;Actinomucor;1,694915254
Conv-2;Conventional;Soil;Alternaria;0
Conv-2;Conventional;Soil;Aspergillus;10,16949153
Conv-2;Conventional;Soil;Cephalotrichum;1,694915254
Conv-2;Conventional;Soil;Cladosporium;6,779661017
Conv-2;Conventional;Soil;Fusarium;1,694915254
Conv-2;Conventional;Soil;Mortierella;0
Conv-2;Conventional;Soil;Penicillium;1,694915254
Conv-2;Conventional;Soil;Trichoderma;0
Conv-3;Conventional;Bark;Alternaria;1,587301587
Conv-3;Conventional;Bark;Aspergillus;0
Conv-3;Conventional;Bark;Aureobasidium;0
Conv-3;Conventional;Bark;Cladosporium;12,6984127
Conv-3;Conventional;Bark;Fonsecaea;0
Conv-3;Conventional;Bark;Sclerostagonospora;1,587301587
Conv-3;Conventional;Grape;Alternaria;0
Conv-3;Conventional;Grape;Apiospora;0
Conv-3;Conventional;Grape;Aspergillus;1,587301587
Conv-3;Conventional;Grape;Cladosporium;20,63492063
Conv-3;Conventional;Grape;Penicillium;3,174603175
Conv-3;Conventional;Grape;Preussia;1,587301587
Conv-3;Conventional;Grape;Sarocladium;1,587301587
Conv-3;Conventional;Leaf;Actinomucor;0
Conv-3;Conventional;Leaf;Alternaria;1,587301587
Conv-3;Conventional;Leaf;Aspergillus;1,587301587
Conv-3;Conventional;Leaf;Aureobasidium;1,587301587
Conv-3;Conventional;Leaf;Cladosporium;23,80952381
Conv-3;Conventional;Leaf;Fusarium;1,587301587
Conv-3;Conventional;Leaf;Penicillium;3,174603175
