Treatment;Genera;Bark;Grape;Leaf;Soil
Commercial Conventional;Acetobacter;0;1;0;0
Commercial Conventional;Aureimonas;0;2;0;0
Commercial Conventional;Bacillus;10;2;1;22
Commercial Conventional;Kocuria;0;1;0;0
Commercial Conventional;Lysinibacillus;0;1;0;0
Commercial Conventional;Mesobacillus;0;1;0;0
Commercial Conventional;Ornithinibacillus;1;0;1;0
Commercial Conventional;Pantoea;0;2;0;0
Commercial Conventional;Peribacillus;0;1;0;5
Commercial Conventional;Pseudomonas;8;0;5;0
Commercial Conventional;Saccharopolyspora;0;1;0;0
Commercial Conventional;Solibacillus;0;1;0;0
Commercial Conventional;Stenotrophomonas;7;0;8;0
Commercial Conventional;Streptomyces;1;0;0;0
Commercial Conventional;Ureibacillus;1;0;0;0
Commercial Conventional;Aeromonas;0;0;1;0
Commercial Conventional;Chungangia;0;0;1;0
Commercial Conventional;Citricoccus;0;0;1;0
Commercial Conventional;Cytobacillus;0;0;13;0
Commercial Conventional;Paenibacillus;0;0;1;3
Commercial Conventional;Staphylococcus;0;0;8;0
Commercial Conventional;Acidithiobacillus;0;0;0;1
Commercial Conventional;Niallia;0;0;0;2
Commercial Conventional;Priestia;0;0;0;2
Commercial Organic;Arthrobacter;0;0;6;0
Commercial Organic;Bacillus;0;6;18;17
Commercial Organic;Brachybacterium;2;5;0;0
Commercial Organic;Citricoccus;0;0;0;2
Commercial Organic;Corynebacterium;0;7;0;0
Commercial Organic;Curtobacterium;0;1;0;0
Commercial Organic;Cytobacillus;0;0;6;0
Commercial Organic;Fredinandcohnia;4;0;0;0
Commercial Organic;Kytococcus;0;3;2;0
Commercial Organic;Lelliottia;0;0;0;1
Commercial Organic;Mesobacillus;0;1;0;0
Commercial Organic;Metabacillus;3;0;0;0
Commercial Organic;Microbacterium;0;1;1;0
Commercial Organic;Micrococcus;0;1;0;0
Commercial Organic;Niallia;2;0;0;0
Commercial Organic;Novosphingobium;0;0;1;0
Commercial Organic;Paenarthrobacter;0;0;0;3
Commercial Organic;Paenibacillus;0;2;0;1
Commercial Organic;Pantoea;0;0;0;1
Commercial Organic;Paracoccus;0;0;1;0
Commercial Organic;Peribacillus;6;5;2;3
Commercial Organic;Priestia;0;0;1;21
Commercial Organic;Pseudarthrobacter;0;1;0;0
Commercial Organic;Pseudomonas;9;0;6;0
Commercial Organic;Staphylococcus;3;1;6;1
Commercial Organic;Stenotrophomonas;7;1;11;4
Commercial Organic;Streptomyces;0;7;0;1
Commercial Organic;Tsukamurella;1;0;0;0
Natural Conventional;Aureimonas;2;0;0;0
Natural Conventional;Curtobacterium;3;0;0;0
Natural Conventional;Cytobacillus;3;0;2;0
Natural Conventional;Kocuria;3;0;0;0
Natural Conventional;Lysinibacillus;1;0;0;1
Natural Conventional;Microbacterium;3;0;0;1
Natural Conventional;Peribacillus;5;0;0;8
Natural Conventional;Planomicrobium;2;0;0;0
Natural Conventional;Priestia;3;0;0;0
