Genera;Conventional;Organic;Wild
Acetobacter;0,446428571;0;0
Agrobacterium;0;0;0,546448087
Agromyces;0,446428571;0;0,546448087
Alkalicoccobacillus;0;0;1,092896175
Arthrobacter;2,232142857;3,041825095;0,546448087
Aureimonas;1,785714286;0;0
Bacillus;25,44642858;19,01140684;22,95081967
Brachybacterium;0;2,661596958;0
Brevibacterium;0,446428571;0;0
Chungangia;0,446428571;0;0
Citricoccus;0,446428571;0,760456274;0
Corynebacterium;0;2,661596958;0
Curtobacterium;1,339285714;0,380228137;15,84699454
Cytobacillus;8,035714286;2,281368821;1,092896175
Domibacillus;0,446428571;0,380228137;0
Erwinia;0;0;1,639344262
Fredinandcohnia;0;1,520912548;0
Frigoribacterium;0;0;2,732240437
Isoptericola;0;0;1,092896175
Kocuria;1,785714286;0;0
Kytococcus;0;1,901140684;0
Labedella;0;0;0,546448087
Lelliottia;0;0,380228137;0
Lysinibacillus;2,232142857;0;2,732240437
Massilia;0;0,380228137;0
Mesobacillus;0,446428571;0,760456274;0,546448087
Metabacillus;1,339285714;2,661596958;0,546448087
Methylobacterium;0;0;0,546448087
Microbacterium;1,785714286;0,760456274;2,732240437
Micrococcus;0;1,520912548;1,092896175
Microterricola;0;0;0,546448087
Moraxella;0;0,380228137;0
Niallia;0,892857143;1,520912548;0
Novosphingobium;0;0,380228137;0
Ornithinibacillus;0,892857143;0;0
Paenarthrobacter;0;1,520912548;0,546448087
Paenibacillus;3,125;2,281368821;0,546448087
Pantoea;1,339285714;0,760456274;8,196721311
Paracoccus;0;0,380228137;0
Peribacillus;8,482142857;8,745247148;3,278688525
Planomicrobium;0,892857143;0;0
Priestia;2,232142857;8,365019011;1,092896175
Promicromonospora;0;0;1,092896175
Pseudarthrobacter;0,446428571;0,380228137;0
Pseudomonas;6,696428571;6,08365019;9,836065574
Psychrobacillus;0;0;1,092896175
Rathayibacter;3,571428571;0;0
Rhizobium;0;0;1,639344262
Rhodococcus;0;0,380228137;2,18579235
Saccharopolyspora;0,446428571;0;0
Sinorhizobium;0,446428571;0,380228137;0
Solibacillus;0,446428571;0;0
Sphingobacterium;0;0;0,546448087
Sphingomonas;0;0;0,546448087
Staphylococcus;6,25;4,942965779;0,546448087
Stenotrophomonas;8,035714286;11,02661597;8,196721311
Streptococcus;0,892857143;0;0
Streptomyces;3,571428571;11,02661597;0,546448087
Terribacillus;1,785714286;0;2,18579235
Tsukamurella;0;0,380228137;0,546448087
Ureibacillus;0,446428571;0;0
