Genera;Organic;Conventional;Wild
Acericola;0;0;0,473933649
Acremoniom;0,411522634;0;0
Actinomucor;0,411522634;1,092896175;0
Alternaria;5,349794239;4,918032787;3,791469194
Apiospora;0;1,092896175;0
Aspergillus;8,641975309;13,1147541;3,317535545
Aureobasidium;2,469135802;3,825136612;1,895734597
Boeremia;0;0;2,843601896
Botrytis;1,234567901;0;0
Cephalotrichum;0;0,546448087;0
Chaetomium;0,411522634;0;0,473933649
Cladosporium;59,67078189;53,55191257;59,24170616
Colletotrichum;0;0;0,473933649
Coniothyrium;0,411522634;0;0
Cytospora;0;0;0,473933649
Didymella;0;0;0,947867299
Ectophoma;0;0;1,421800948
Exophiala;2,469135802;0;0
Fonsecaea;0;0,546448087;0
Fusarium;2,469135802;3,278688525;1,421800948
Gibellulopsis;0;0;0,473933649
Gliomastix;0;0;0,473933649
Hypomyces;0,411522634;0;0
Microascus;0;0;0,473933649
Mortierella;0;0,546448087;0
Mucor;0,411522634;0;0
Myriodontium;0;0;0,473933649
Neocucurbitaria;0;0;0,473933649
Neoeutypella;0;0;0,473933649
Neophaeomoniella;0;0;0,473933649
Neopyrenochaeta;0;0;0,947867299
Neosetophoma;0;0;0,473933649
Nothophoma;0;0;4,265402844
Parachaetomium;0,411522634;0;0
Paraconiothyrium;0;0;0,947867299
Penicillium;8,641975309;11,47540984;11,84834123
Preussia;0;0,546448087;0
Pseudocamarosporium;0,411522634;0;0
Pseudopithomyces;0;0,546448087;0
Purpureocillium;0,411522634;0;0,473933649
Ramularia;0,411522634;0;0
Rhizopus;1,646090535;0;0
Sarocladium;0,411522634;1,092896175;0
Sclerostagonospora;0,823045267;1,092896175;0
Stachybotrys;0,411522634;0;0
Stemphylium;0,823045267;0,546448087;0,473933649
Talaromyces;0,411522634;0;0
Tamaricicola;0;0,546448087;0
Trichoderma;0;0,546448087;0
Trichosporiella;0;0;0,473933649
Xylona;0;0,546448087;0
Zalaria;0,411522634;0,546448087;0
