Sample;Treatment;Organ Material;Genera;Abundance
Org-1;Organic;Bark;Brachybacterium;1
Org-1;Organic;Bark;Fredinandcohnia;1
Org-1;Organic;Bark;Metabacillus;1
Org-1;Organic;Bark;Niallia;0
Org-1;Organic;Bark;Peribacillus;2
Org-1;Organic;Bark;Pseudomonas;2
Org-1;Organic;Bark;Staphylococcus;1
Org-1;Organic;Bark;Stenotrophomonas;3
Org-1;Organic;Bark;Tsukamurella;1
Org-2;Organic;Bark;Brachybacterium;0
Org-2;Organic;Bark;Fredinandcohnia;2
Org-2;Organic;Bark;Metabacillus;1
Org-2;Organic;Bark;Niallia;1
Org-2;Organic;Bark;Peribacillus;2
Org-2;Organic;Bark;Pseudomonas;4
Org-2;Organic;Bark;Staphylococcus;1
Org-2;Organic;Bark;Stenotrophomonas;2
Org-2;Organic;Bark;Tsukamurella;0
Org-3;Organic;Bark;Brachybacterium;1
Org-3;Organic;Bark;Fredinandcohnia;1
Org-3;Organic;Bark;Metabacillus;1
Org-3;Organic;Bark;Niallia;1
Org-3;Organic;Bark;Peribacillus;3
Org-3;Organic;Bark;Pseudomonas;3
Org-3;Organic;Bark;Staphylococcus;1
Org-3;Organic;Bark;Stenotrophomonas;3
Org-3;Organic;Bark;Tsukamurella;0
Org-1;Organic;Grape;Bacillus;2
Org-1;Organic;Grape;Brachybacterium;1
Org-1;Organic;Grape;Corynebacterium;2
Org-1;Organic;Grape;Curtobacterium;1
Org-1;Organic;Grape;Kytococcus;1
Org-1;Organic;Grape;Mesobacillus;0
Org-1;Organic;Grape;Microbacterium;1
Org-1;Organic;Grape;Micrococcus;0
Org-1;Organic;Grape;Paenibacillus;1
Org-1;Organic;Grape;Peribacillus;1
Org-1;Organic;Grape;Pseudarthrobacter;1
Org-1;Organic;Grape;Staphylococcus;1
Org-1;Organic;Grape;Stenotrophomonas;0
Org-1;Organic;Grape;Streptomyces;2
Org-2;Organic;Grape;Bacillus;3
Org-2;Organic;Grape;Brachybacterium;2
Org-2;Organic;Grape;Corynebacterium;2
Org-2;Organic;Grape;Curtobacterium;0
Org-2;Organic;Grape;Kytococcus;1
Org-2;Organic;Grape;Mesobacillus;1
Org-2;Organic;Grape;Microbacterium;0
Org-2;Organic;Grape;Micrococcus;0
Org-2;Organic;Grape;Paenibacillus;1
Org-2;Organic;Grape;Peribacillus;2
Org-2;Organic;Grape;Pseudarthrobacter;0
Org-2;Organic;Grape;Staphylococcus;1
Org-2;Organic;Grape;Stenotrophomonas;1
Org-2;Organic;Grape;Streptomyces;3
Org-3;Organic;Grape;Bacillus;2
Org-3;Organic;Grape;Brachybacterium;2
Org-3;Organic;Grape;Corynebacterium;3
Org-3;Organic;Grape;Curtobacterium;0
Org-3;Organic;Grape;Kytococcus;1
Org-3;Organic;Grape;Mesobacillus;0
Org-3;Organic;Grape;Microbacterium;0
